,model,file_name,car_id,car_score,avg_gt_depth,avg_pred_depth,rmse,horizontal_angle,rgb_image,gt_depth_map,pred_depth_map,car_mask
0,DepthPro,0000000072.png,0,0.992805,8.044156933,8.224036296,1.093602194,-14.16938772,"[[[126 105 104]
  [133 111 107]
  [147 121 106]
  ...
  [ 97 116 148]
  [ 99 117 161]
  [100 118 157]]
 [[143 111 104]
  [143 119 110]
  [153 121 109]
  ...
  [102 119 148]
  [100 120 152]
  [ 98 116 147]]
 [[148 117  98]
  [148 125 104]
  [156 128 104]
  ...
  [101 120 138]
  [ 99 116 139]
  [ 98 109 137]]
 ...
 [[ 45  42  45]
  [ 44  42  46]
  [ 43  43  43]
  ...
  [ 46  67  69]
  [ 52  82  97]
  [ 71  90  92]]
 [[ 43  44  45]
  [ 47  44  45]
  [ 48  45  43]
  ...
  [ 37  64  62]
  [ 39  73  96]
  [ 60  81  93]]
 [[ 43  43  41]
  [ 47  44  41]
  [ 48  45  46]
  ...
  [ 41  59  54]
  [ 39  68  86]
  [ 58  79  85]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[7.82377358 7.38778415 7.21704377 ... 2.91559478 2.89366273 2.92157009]
 [7.34961433 7.33019967 7.33697089 ... 2.91914105 2.91709362 2.91733081]
 [7.30005681 7.34181928 7.37054026 ... 2.90838586 2.90030261 2.89022842]
 ...
 [6.81659461 6.73951831 6.74869222 ... 3.12688869 2.95089512 2.87920779]
 [6.49520826 6.53163235 6.62211068 ... 3.27726417 3.07814269 2.96436124]
 [6.45728047 6.47490218 6.53774576 ... 3.54039727 3.21634089 3.07632064]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
1,UniDepthV2,0000000072.png,0,0.992805,8.044156933,8.385685955,1.372300531,-14.16938772,"[[[126 105 104]
  [133 111 107]
  [147 121 106]
  ...
  [ 97 116 148]
  [ 99 117 161]
  [100 118 157]]
 [[143 111 104]
  [143 119 110]
  [153 121 109]
  ...
  [102 119 148]
  [100 120 152]
  [ 98 116 147]]
 [[148 117  98]
  [148 125 104]
  [156 128 104]
  ...
  [101 120 138]
  [ 99 116 139]
  [ 98 109 137]]
 ...
 [[ 45  42  45]
  [ 44  42  46]
  [ 43  43  43]
  ...
  [ 46  67  69]
  [ 52  82  97]
  [ 71  90  92]]
 [[ 43  44  45]
  [ 47  44  45]
  [ 48  45  43]
  ...
  [ 37  64  62]
  [ 39  73  96]
  [ 60  81  93]]
 [[ 43  43  41]
  [ 47  44  41]
  [ 48  45  46]
  ...
  [ 41  59  54]
  [ 39  68  86]
  [ 58  79  85]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[8.88992975 8.90060712 8.92381924 ... 4.2436291  4.23949092 4.23324388]
 [8.87399367 8.89518939 8.91846715 ... 4.23603965 4.23189084 4.2231485 ]
 [8.86445624 8.8856307  8.90888442 ... 4.22844281 4.22280134 4.21407611]
 ...
 [6.59576846 6.59871169 6.60312723 ... 4.91814507 4.77781379 4.7775013 ]
 [6.55668682 6.55961203 6.56399937 ... 4.99623899 4.85952816 4.8452493 ]
 [6.51783216 6.52073888 6.52509895 ... 5.05023002 4.93321302 4.90755275]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
2,DepthPro,0000000216.png,0,0.91702,45.6069552,43.98025429,6.570667795,-3.765140866,"[[[163 129  99]
  [165 130  97]
  [169 131  99]
  ...
  [ 29  12  15]
  [ 29  12  15]
  [ 28  13  15]]
 [[161 125  99]
  [160 126  93]
  [162 126  93]
  ...
  [ 30  13  15]
  [ 30  14  15]
  [ 30  14  15]]
 [[162 125 101]
  [160 125 100]
  [158 125  99]
  ...
  [ 30  15  15]
  [ 30  15  15]
  [ 30  14  15]]
 ...
 [[ 18  15  16]
  [ 18  15  15]
  [ 17  15  17]
  ...
  [ 11  11  14]
  [ 11  12  16]
  [ 11  14  15]]
 [[ 11  13  16]
  [ 12  13  16]
  [ 13  13  17]
  ...
  [ 11  11  14]
  [ 11  12  15]
  [ 14  13  15]]
 [[ 11  11  15]
  [ 13  11  15]
  [ 13  11  16]
  ...
  [ 11  13  14]
  [ 11  13  16]
  [ 12  11  17]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[10.81244206 10.09656756  9.90935481 ...  7.54767191  7.52440157
   7.62804302]
 [10.16717306 10.10825051 10.12264251 ...  7.77089356  7.78011913
   7.69267926]
 [10.1208224  10.17225226 10.21359706 ...  7.74094448  7.69933078
   7.65521193]
 ...
 [ 5.92232311  5.88505079  5.89596758 ...  5.09910249  5.12203059
   5.11739474]
 [ 5.90333415  5.89252848  5.90485313 ...  5.1095087   5.15518542
   5.14167514]
 [ 6.06655652  6.0446096   5.99521153 ...  5.10445172  5.14041506
   5.16510104]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
3,UniDepthV2,0000000216.png,0,0.91702,45.6069552,45.39539748,3.349017934,-3.765140866,"[[[163 129  99]
  [165 130  97]
  [169 131  99]
  ...
  [ 29  12  15]
  [ 29  12  15]
  [ 28  13  15]]
 [[161 125  99]
  [160 126  93]
  [162 126  93]
  ...
  [ 30  13  15]
  [ 30  14  15]
  [ 30  14  15]]
 [[162 125 101]
  [160 125 100]
  [158 125  99]
  ...
  [ 30  15  15]
  [ 30  15  15]
  [ 30  14  15]]
 ...
 [[ 18  15  16]
  [ 18  15  15]
  [ 17  15  17]
  ...
  [ 11  11  14]
  [ 11  12  16]
  [ 11  14  15]]
 [[ 11  13  16]
  [ 12  13  16]
  [ 13  13  17]
  ...
  [ 11  11  14]
  [ 11  12  15]
  [ 14  13  15]]
 [[ 11  11  15]
  [ 13  11  15]
  [ 13  11  16]
  ...
  [ 11  13  14]
  [ 11  13  16]
  [ 12  11  17]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[7.81513027 7.82976074 7.84855354 ... 6.02463465 6.02453196 6.01062519]
 [7.81058436 7.82167746 7.84042638 ... 6.02561686 6.02556683 6.01877957]
 [7.80233255 7.82283523 7.83608411 ... 6.02659425 6.02654422 6.01975344]
 ...
 [4.46478056 4.4449678  4.45417372 ... 4.14385063 4.14784575 4.14721376]
 [4.52305449 4.49988913 4.50334662 ... 4.1431572  4.14965964 4.14649049]
 [4.54130396 4.52895258 4.52547403 ... 4.14241681 4.14791553 4.14576371]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
4,DepthPro,0000000252.png,0,0.981337,35.64053042,35.21638394,2.951912818,-3.067188164,"[[[164 133  79]
  [163 167 103]
  [165 172 123]
  ...
  [ 83  92 103]
  [ 81  90 100]
  [ 78  91 102]]
 [[117  47  31]
  [121  58  31]
  [126  71  25]
  ...
  [ 77  88  98]
  [ 75  84  90]
  [ 72  81  88]]
 [[109  33  28]
  [108  33  28]
  [103  32  29]
  ...
  [ 73  78  73]
  [ 62  64  66]
  [ 46  55  68]]
 ...
 [[ 11  13  19]
  [ 11  14  19]
  [ 11  15  18]
  ...
  [ 29  34  38]
  [ 29  32  35]
  [ 28  31  36]]
 [[  8  12  19]
  [ 11  13  19]
  [ 12  14  18]
  ...
  [ 28  34  40]
  [ 28  33  37]
  [ 24  32  36]]
 [[  9  13  21]
  [ 11  13  21]
  [ 11  14  17]
  ...
  [ 28  33  41]
  [ 28  33  40]
  [ 26  33  39]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[18.14067157 14.93227667 14.43522197 ...  6.18759186  6.16573829
   6.28554995]
 [15.78461967 15.0776225  14.7980833  ...  6.38653179  6.4056363
   6.37776825]
 [14.42644113 14.41283212 14.54888861 ...  6.37822957  6.3375787
   6.32201694]
 ...
 [ 4.14707932  4.08566712  4.07370132 ...  6.54324922  6.54778223
   6.49536031]
 [ 4.12853706  4.09117992  4.07581108 ...  6.48881321  6.48188865
   6.36687056]
 [ 4.21628315  4.17798843  4.13675514 ...  6.3722696   6.36644279
   6.20535014]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
5,UniDepthV2,0000000252.png,0,0.981337,35.64053042,35.27070995,2.549200595,-3.067188164,"[[[164 133  79]
  [163 167 103]
  [165 172 123]
  ...
  [ 83  92 103]
  [ 81  90 100]
  [ 78  91 102]]
 [[117  47  31]
  [121  58  31]
  [126  71  25]
  ...
  [ 77  88  98]
  [ 75  84  90]
  [ 72  81  88]]
 [[109  33  28]
  [108  33  28]
  [103  32  29]
  ...
  [ 73  78  73]
  [ 62  64  66]
  [ 46  55  68]]
 ...
 [[ 11  13  19]
  [ 11  14  19]
  [ 11  15  18]
  ...
  [ 29  34  38]
  [ 29  32  35]
  [ 28  31  36]]
 [[  8  12  19]
  [ 11  13  19]
  [ 12  14  18]
  ...
  [ 28  34  40]
  [ 28  33  37]
  [ 24  32  36]]
 [[  9  13  21]
  [ 11  13  21]
  [ 11  14  17]
  ...
  [ 28  33  41]
  [ 28  33  40]
  [ 26  33  39]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[13.83703649 13.80603401 13.76503963 ...  5.33105924  5.32070301
   5.30995536]
 [13.29109003 13.27408273 13.25079409 ...  5.31514838  5.30484094
   5.29652274]
 [13.05840344 13.09869628 13.14587753 ...  5.30182959  5.29525981
   5.2805844 ]
 ...
 [ 3.51683299  3.51614926  3.51763674 ...  5.3753418   5.37908992
   5.38127623]
 [ 3.50739047  3.50548717  3.50909515 ...  5.34727944  5.35378029
   5.35314999]
 [ 3.49887907  3.49697965  3.49973006 ...  5.32210028  5.33234617
   5.32789844]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
6,DepthPro,0000000288.png,1,0.987117,25.86196751,25.58603805,1.343615789,-4.343787463,"[[[128 115 103]
  [126 115 104]
  [122 118 103]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[127 115 103]
  [126 116 105]
  [124 117 105]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[126 114  96]
  [126 116 100]
  [124 116 101]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 ...
 [[ 44  37  31]
  [ 43  38  31]
  [ 44  39  32]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[ 48  43  31]
  [ 53  45  32]
  [ 55  44  34]
  ...
  [255 255 255]
  [255 255 255]
  [255 254 255]]
 [[ 50  51  46]
  [ 55  51  47]
  [ 59  50  43]
  ...
  [255 255 255]
  [255 255 255]
  [255 250 255]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[7.95866258 7.27613628 7.09926707 ... 7.20403082 7.17395172 7.34269453]
 [7.26855873 7.21757283 7.19602638 ... 7.38187071 7.42629378 7.3405491 ]
 [7.19506761 7.22764291 7.23381829 ... 7.34673916 7.30364719 7.26916031]
 ...
 [5.08883585 5.08913114 5.10868713 ... 5.65432146 5.66374456 5.62503423]
 [5.08395075 5.12428516 5.15465954 ... 5.59882369 5.60075591 5.50975793]
 [5.12481521 5.21834194 5.24830916 ... 5.51432986 5.52410924 5.39848179]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
7,UniDepthV2,0000000288.png,1,0.987117,25.86196751,26.04297102,2.60657382,-4.343787463,"[[[128 115 103]
  [126 115 104]
  [122 118 103]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[127 115 103]
  [126 116 105]
  [124 117 105]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[126 114  96]
  [126 116 100]
  [124 116 101]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 ...
 [[ 44  37  31]
  [ 43  38  31]
  [ 44  39  32]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]
 [[ 48  43  31]
  [ 53  45  32]
  [ 55  44  34]
  ...
  [255 255 255]
  [255 255 255]
  [255 254 255]]
 [[ 50  51  46]
  [ 55  51  47]
  [ 59  50  43]
  ...
  [255 255 255]
  [255 255 255]
  [255 250 255]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[7.01643341 7.03480926 7.03810009 ... 6.10409449 6.09684289 6.08997294]
 [7.01755303 7.03593325 7.03922625 ... 6.08608981 6.0860065  6.0746912 ]
 [7.01866655 7.03705069 7.040345   ... 6.07530052 6.07516313 6.05655872]
 ...
 [4.52728157 4.53472245 4.54556277 ... 5.1913844  5.19638934 5.19560163]
 [4.55686237 4.56155065 4.57243328 ... 5.17044436 5.17542923 5.17464589]
 [4.59143415 4.59452173 4.60547022 ... 5.14954663 5.15142866 5.15065098]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
8,DepthPro,0000000324.png,0,0.992788,18.98218243,18.80283025,1.659160074,-6.667616124,"[[[137 131 123]
  [133 129 119]
  [126 126 116]
  ...
  [129 134 146]
  [126 134 150]
  [121 135 149]]
 [[156 141 127]
  [152 138 124]
  [141 138 125]
  ...
  [125 138 144]
  [127 138 145]
  [128 137 142]]
 [[157 155 145]
  [156 150 145]
  [148 147 143]
  ...
  [126 140 135]
  [127 138 134]
  [128 134 136]]
 ...
 [[ 45  44  49]
  [ 51  45  49]
  [ 54  48  51]
  ...
  [ 48  60  65]
  [ 50  59  69]
  [ 55  58  69]]
 [[ 49  45  49]
  [ 52  47  49]
  [ 52  47  51]
  ...
  [ 46  56  65]
  [ 47  58  68]
  [ 49  56  69]]
 [[ 50  49  51]
  [ 52  48  51]
  [ 53  49  49]
  ...
  [ 48  56  65]
  [ 48  56  69]
  [ 50  56  70]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[7.0445837  6.663465   6.56098436 ... 7.54538836 7.58012565 7.8124327 ]
 [6.64304067 6.61559045 6.6267198  ... 7.76387999 7.81609881 7.7190828 ]
 [6.58491013 6.6209723  6.65485527 ... 7.73538243 7.67602085 7.61948697]
 ...
 [5.96223765 5.91603768 5.92089189 ... 5.4561711  5.45818432 5.40916017]
 [5.80430234 5.80401461 5.85184579 ... 5.41339156 5.40989809 5.31559824]
 [5.73275787 5.76280917 5.78846751 ... 5.31309987 5.30720054 5.20254997]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
9,UniDepthV2,0000000324.png,0,0.992788,18.98218243,19.09901911,1.420562717,-6.667616124,"[[[137 131 123]
  [133 129 119]
  [126 126 116]
  ...
  [129 134 146]
  [126 134 150]
  [121 135 149]]
 [[156 141 127]
  [152 138 124]
  [141 138 125]
  ...
  [125 138 144]
  [127 138 145]
  [128 137 142]]
 [[157 155 145]
  [156 150 145]
  [148 147 143]
  ...
  [126 140 135]
  [127 138 134]
  [128 134 136]]
 ...
 [[ 45  44  49]
  [ 51  45  49]
  [ 54  48  51]
  ...
  [ 48  60  65]
  [ 50  59  69]
  [ 55  58  69]]
 [[ 49  45  49]
  [ 52  47  49]
  [ 52  47  51]
  ...
  [ 46  56  65]
  [ 47  58  68]
  [ 49  56  69]]
 [[ 50  49  51]
  [ 52  48  51]
  [ 53  49  49]
  ...
  [ 48  56  65]
  [ 48  56  69]
  [ 50  56  70]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[6.1823924  6.19861729 6.21351693 ... 7.61274297 7.60370664 7.59514672]
 [6.18337821 6.19505781 6.20991632 ... 7.6050102  7.60494692 7.59638338]
 [6.18435904 6.18858069 6.20337049 ... 7.60624506 7.606142   7.59214726]
 ...
 [5.76041324 5.7714831  5.77416254 ... 5.41403829 5.41925841 5.41843848]
 [5.73316052 5.74116675 5.74380867 ... 5.38697993 5.39217383 5.39136069]
 [5.70313299 5.70700163 5.70959655 ... 5.3600531  5.36522079 5.36441397]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
