,model,file_name,car_id,car_score,avg_gt_depth,avg_pred_depth,rmse,horizontal_angle,rgb_image,gt_depth_map,pred_depth_map,car_mask
0,DepthPro,0000000025.png,0,0.966937,10.34646703,10.40210187,0.769516431,-12.62158168,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.20824857  9.82949752  9.4406838  ...  4.37105468  4.33258285
   4.37171741]
 [10.49059444  9.96627544  9.73598269 ...  4.47884857  4.48838709
   4.44293753]
 [10.15866644 10.00437755 10.00236798 ...  4.46094314  4.45104538
   4.41756896]
 ...
 [ 2.55500097  2.5359015   2.53609118 ...  2.27875355  2.26804823
   2.24714816]
 [ 2.55057104  2.54503908  2.54268557 ...  2.28934213  2.28015551
   2.26302621]
 [ 2.59910537  2.58416714  2.56131786 ...  2.33104272  2.30765123
   2.28246542]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
1,UniDepthV2,0000000025.png,0,0.966937,10.34646703,10.7505251,1.669555011,-12.62158168,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.50926229 12.51782517 12.52358211 ...  4.93460571  4.92975535
   4.92412604]
 [12.51159163 12.52015922 12.52591993 ...  4.93076602  4.92586151
   4.92023502]
 [12.48934188 12.52226815 12.52803168 ...  4.93153697  4.92669086
   4.92106202]
 ...
 [ 2.65658677  2.65840277  2.65962372 ...  2.37317212  2.37313939
   2.37045   ]
 [ 2.65607414  2.65532061  2.65908447 ...  2.37735866  2.37502202
   2.37000472]
 [ 2.65043658  2.6522474   2.65346458 ...  2.37694469  2.37691173
   2.37421975]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
2,DepthPro,0000000025.png,1,0.996949,4.065917686,4.222899078,1.044640816,-31.33032301,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.10729985  9.74821844  9.36261978 ...  4.33491089  4.29675718
   4.33556814]
 [10.40384882  9.88386536  9.65547688 ...  4.44181344  4.45127309
   4.40619935]
 [10.0746655   9.92165241  9.91965946 ...  4.42405608  4.41424016
   4.38104055]
 ...
 [ 2.53387394  2.5149324   2.51512051 ...  2.25991078  2.24929398
   2.22856673]
 [ 2.52948064  2.52399442  2.52166037 ...  2.2704118   2.26130115
   2.24431348]
 [ 2.57761365  2.56279893  2.54013859 ...  2.31176758  2.28856951
   2.26359196]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
3,UniDepthV2,0000000025.png,1,0.996949,4.065917686,4.324976081,1.312993975,-31.33032301,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.47971444 12.4882571  12.49400044 ...  4.92294979  4.91811089
   4.91249488]
 [12.48203828 12.49058564 12.49633274 ...  4.91911917  4.91422624
   4.90861305]
 [12.45984109 12.49268959 12.49843951 ...  4.9198883   4.91505363
   4.90943809]
 ...
 [ 2.65031171  2.65212341  2.65334148 ...  2.3675665   2.36753385
   2.36485082]
 [ 2.64980028  2.64904854  2.65280351 ...  2.37174316  2.36941204
   2.36440658]
 [ 2.64417605  2.64598259  2.64719689 ...  2.37133017  2.37129728
   2.36861166]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
4,DepthPro,0000000025.png,2,0.936859,49.57455477,50.37193749,2.939175173,0.993529204,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[14.82501921 11.93639601 11.46424222 ...  5.3079661   5.26124805
   5.30877088]
 [12.7391954  12.10249152 11.8228368  ...  5.43886502  5.45044807
   5.39525665]
 [12.33612048 12.14876061 12.1463203  ...  5.41712166  5.40510237
   5.36445046]
 ...
 [ 3.10265132  3.07945798  3.07968832 ...  2.76719179  2.75419184
   2.72881196]
 [ 3.09727186  3.09055414  3.08769618 ...  2.78004997  2.76889425
   2.74809337]
 [ 3.15620925  3.13806909  3.1103222  ...  2.83068885  2.80228352
   2.77169928]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
5,UniDepthV2,0000000025.png,2,0.936859,49.57455477,51.08784422,4.346080461,0.993529204,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.47648787 12.48502832 12.49077018 ...  4.92167698  4.91683934
   4.91122477]
 [12.47881111 12.48735625 12.49310187 ...  4.91784736  4.91295569
   4.90734395]
 [12.45661965 12.48945966 12.49520809 ...  4.91861629  4.91378287
   4.90816877]
 ...
 [ 2.64962648  2.65143772  2.65265547 ...  2.36695438  2.36692173
   2.3642394 ]
 [ 2.64911519  2.64836364  2.65211764 ...  2.37112995  2.36879944
   2.36379528]
 [ 2.64349241  2.64529848  2.64651247 ...  2.37071707  2.37068419
   2.36799927]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
6,DepthPro,0000000025.png,3,0.937229,65.62988281,65.417817,1.105276131,-2.142011429,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[16.43112442 13.22955507 12.70624933 ...  5.88301777  5.8312384
   5.88390974]
 [14.11932772 13.41364495 13.10369314 ...  6.02809795  6.04093588
   5.97976516]
 [13.67258468 13.46492671 13.46222203 ...  6.00399897  5.99067754
   5.94562151]
 ...
 [ 3.43878474  3.4130787   3.41333399 ...  3.06698237  3.05257405
   3.02444457]
 [ 3.43282248  3.42537699  3.4222094  ...  3.08123358  3.06886928
   3.04581488]
 [ 3.49814501  3.47803958  3.44728666 ...  3.13735855  3.10587586
   3.07197819]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
7,UniDepthV2,0000000025.png,3,0.937229,65.62988281,65.31992328,0.602790982,-2.142011429,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[13.34839572 13.35753301 13.36367613 ...  5.26562384  5.26044812
   5.25444119]
 [13.35088131 13.36002363 13.36617077 ...  5.26152658  5.25629307
   5.25028915]
 [13.32713903 13.36227403 13.36842419 ...  5.26234925  5.25717805
   5.25117162]
 ...
 [ 2.83479318  2.836731    2.83803385 ...  2.5323668   2.53233187
   2.52946209]
 [ 2.83424616  2.83344209  2.83745844 ...  2.53683418  2.5343408
   2.52898693]
 [ 2.82823044  2.83016272  2.83146155 ...  2.53639245  2.53635727
   2.53348472]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
8,DepthPro,0000000025.png,4,0.989537,20.68448539,20.53897811,1.371696194,-7.642983941,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.72329824 10.24419086  9.83897362 ...  4.55546362  4.51536872
   4.55615431]
 [10.93317858 10.38673926 10.14673078 ...  4.6678052   4.67774614
   4.63037912]
 [10.58724699 10.42644885 10.4243545  ...  4.64914437  4.63882903
   4.60394029]
 ...
 [ 2.66279305  2.6428878   2.64308548 ...  2.37489112  2.36373415
   2.34195234]
 [ 2.65817622  2.65241087  2.64995807 ...  2.38592641  2.37635222
   2.35850025]
 [ 2.70875815  2.69318969  2.66937643 ...  2.4293863   2.40500795
   2.37875959]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
9,UniDepthV2,0000000025.png,4,0.989537,20.68448539,20.72411959,1.723614525,-7.642983941,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 36  41  51]
  [ 36  40  50]
  [ 36  41  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 35  40  51]
  [ 36  41  51]
  [ 36  42  51]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [ 34  42  52]
  [ 36  43  53]
  [ 37  43  53]]

 ...

 [[ 13  18  23]
  [ 13  18  23]
  [ 13  18  23]
  ...
  [ 52  58  60]
  [ 53  60  59]
  [ 55  60  59]]

 [[ 12  18  23]
  [ 12  18  23]
  [ 12  18  23]
  ...
  [ 35  42  50]
  [ 44  49  54]
  [ 43  59  58]]

 [[ 12  18  27]
  [ 12  18  26]
  [ 13  18  25]
  ...
  [ 31  28  21]
  [ 41  32  23]
  [ 41  40  31]]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[12.27195794 12.28035838 12.28600611 ...  4.8409948   4.83623646
   4.83071394]
 [12.27424309 12.28264815 12.28829958 ...  4.83722795  4.83241648
   4.82689673]
 [12.25241543 12.28471708 12.29037127 ...  4.83798428  4.8332301
   4.82770804]
 ...
 [ 2.60619054  2.60797209  2.60916988 ...  2.32815235  2.32812024
   2.32548188]
 [ 2.60568764  2.6049484   2.60864087 ...  2.33225948  2.32996716
   2.32504504]
 [ 2.60015703  2.60193349  2.60312758 ...  2.33185336  2.33182102
   2.32918011]]","[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
